0, 24.41
1, 24.41
2, 24.41
3, 24.90
4, 24.41
5, 24.41
6, 24.41
7, 24.41
8, 24.41
9, 25.39
10, 26.86
11, 27.83
12, 28.32
13, 28.81
14, 29.30
15, 29.79
16, 29.79
17, 30.27
18, 30.27
19, 30.27
20, 30.76
21, 30.76
22, 30.76
23, 30.76
24, 30.76
25, 30.76
26, 31.25
27, 31.25
28, 31.74
29, 31.74
30, 31.25
31, 31.25
32, 31.25
33, 30.76
34, 30.76
35, 30.76
36, 30.27
37, 29.79
38, 29.79
39, 29.30
40, 29.30
41, 28.81
42, 28.81
43, 28.32
44, 28.32
45, 28.32
46, 28.32
47, 28.32
48, 27.83
49, 27.83
50, 27.83
51, 27.83
52, 27.34
53, 27.34
54, 26.86
55, 26.86
56, 26.86
57, 26.86
